iter	Passed	Remaining
0	28	1375
1	49	1193
2	79	1240
3	101	1164
4	120	1087
5	143	1050
6	170	1046
7	191	1007
8	215	983
9	236	946
10	263	933
11	286	907
12	310	882
13	330	849
14	371	867
15	391	831
16	414	805
17	438	780
18	465	759
19	486	730
20	507	700
21	529	674
22	555	651
23	579	628
24	602	602
25	626	578
26	656	559
27	678	533
28	698	506
29	720	480
30	747	457
31	768	432
32	786	405
33	803	378
34	820	351
35	837	325
36	854	300
37	870	275
38	887	250
39	904	226
40	921	202
41	937	178
42	954	155
43	971	132
44	987	109
45	1004	87
46	1020	65
47	1037	43
48	1056	21
49	1074	0
