iter	MultiClass
0	0.6885593684
1	0.6842569684
2	0.6799511172
3	0.6757425387
4	0.6716703751
5	0.6675344135
6	0.6635248617
7	0.6596136532
8	0.6558649092
9	0.6520656647
10	0.6484183034
11	0.6447410017
12	0.6410864073
13	0.6372427433
14	0.6336122726
15	0.6298379239
16	0.6260982048
17	0.6225099888
18	0.6189949536
19	0.6154860094
20	0.6121210603
21	0.6088429965
22	0.6054970188
23	0.602239554
24	0.5991127726
25	0.59593643
26	0.5929254641
27	0.5899787731
28	0.586942187
29	0.5839399224
30	0.5809786182
31	0.5781924086
32	0.5754141836
33	0.5726296201
34	0.5699176529
35	0.5672922379
36	0.5647277449
37	0.562163443
38	0.5596830584
39	0.5571798739
40	0.5547033645
41	0.5522981573
42	0.5499820826
43	0.547613084
44	0.5454967923
45	0.543153012
46	0.5409423464
47	0.5386747151
48	0.5364493545
49	0.5343746983
