iter	Logloss	Accuracy
0	0.629236784	0.8097798259
1	0.5809611674	0.820890937
2	0.5395894957	0.8316436252
3	0.5062957682	0.8315412186
4	0.4812614758	0.8315924219
5	0.4601038223	0.8348694316
6	0.443046973	0.8375832053
7	0.4286563688	0.8391705069
8	0.4177148416	0.8395289299
9	0.4077347838	0.8400921659
10	0.3990100468	0.8413722478
11	0.392125124	0.8420890937
12	0.386109478	0.8421915003
13	0.3810239104	0.8428059396
14	0.3763805757	0.8428571429
15	0.3723168654	0.8435227855
16	0.3691825771	0.8444444444
17	0.3662240429	0.8458269329
18	0.3635248323	0.8466973886
19	0.3612632187	0.8469022017
20	0.3592587326	0.8470046083
21	0.3573634487	0.8482846902
22	0.3559220192	0.8482846902
23	0.3547374203	0.848796723
24	0.3533562569	0.8494111623
25	0.3519169922	0.8495135689
26	0.3508914567	0.849718382
27	0.3499910292	0.8503328213
28	0.3493794014	0.8510496672
29	0.3484889237	0.8509984639
30	0.3475771555	0.8516641065
31	0.3468511235	0.8516129032
32	0.3463108483	0.8516641065
33	0.3454750066	0.8517153098
34	0.3447968831	0.8516129032
35	0.3443614803	0.8520225294
36	0.3439438222	0.8523809524
37	0.3438178689	0.8523297491
38	0.343346915	0.8526369688
39	0.3429613528	0.852688172
40	0.3424830061	0.8530977983
41	0.3422720278	0.8530977983
42	0.342117416	0.8526369688
43	0.3416753007	0.8530977983
44	0.3414548562	0.8532002048
45	0.3412951599	0.8528417819
46	0.3412077898	0.8529441884
47	0.3411112469	0.8525857655
48	0.3409346019	0.8531490015
49	0.3408236128	0.8529441884
50	0.3406691039	0.8531490015
51	0.3406302349	0.8532514081
52	0.3404909311	0.8529441884
53	0.3403657607	0.8530977983
54	0.3402166772	0.8530977983
55	0.340127346	0.8532002048
56	0.3399632939	0.8532002048
57	0.3399015247	0.8532002048
58	0.3395952338	0.8535074245
59	0.3395151609	0.8535074245
60	0.3393239806	0.8533538146
61	0.3390725044	0.8537122376
62	0.3387297206	0.8535586278
63	0.3386262612	0.853609831
64	0.3383824796	0.8535074245
65	0.3383169118	0.8537122376
66	0.3381621688	0.8540706605
67	0.3379492477	0.8540194572
68	0.3377199885	0.8546338966
69	0.3376428452	0.8544290835
70	0.3374809977	0.8544802867
71	0.3371250239	0.85453149
72	0.3369446701	0.8545826933
73	0.3368283827	0.8549411162
74	0.3367223137	0.8549923195
75	0.3366833429	0.8550435228
76	0.3365644567	0.8550435228
77	0.3364914899	0.8548387097
78	0.3364431723	0.8550947261
79	0.3363876287	0.8554019457
80	0.3363472655	0.8552995392
81	0.3362834341	0.8552483359
82	0.3362228873	0.8551459293
83	0.3361266131	0.8552483359
84	0.3360525251	0.8551971326
85	0.3359944846	0.8550435228
86	0.335854352	0.8553507424
87	0.3357024784	0.855453149
88	0.3355767991	0.8551459293
89	0.3354845433	0.8555043523
90	0.3353100656	0.8555555556
91	0.3352646107	0.855453149
92	0.3352077353	0.8555555556
93	0.3349668785	0.8558115719
94	0.3348843335	0.8556067588
95	0.3347969053	0.8556579621
96	0.334668262	0.8561187916
97	0.3345125829	0.8558627752
98	0.334381849	0.8561187916
99	0.3343152413	0.8560675883
