iter	Passed	Remaining
0	26	2578
1	58	2853
2	80	2611
3	115	2760
4	140	2669
5	166	2603
6	192	2563
7	222	2563
8	248	2513
9	275	2477
10	306	2476
11	336	2464
12	361	2422
13	394	2421
14	418	2374
15	444	2333
16	469	2294
17	502	2291
18	535	2281
19	560	2240
20	585	2203
21	616	2184
22	647	2166
23	674	2135
24	707	2122
25	731	2081
26	757	2048
27	787	2025
28	821	2011
29	851	1987
30	876	1950
31	899	1910
32	925	1878
33	948	1841
34	972	1806
35	996	1771
36	1021	1738
37	1037	1692
38	1061	1659
39	1084	1626
40	1108	1595
41	1132	1563
42	1155	1532
43	1184	1507
44	1221	1493
45	1244	1460
46	1264	1425
47	1302	1411
48	1329	1383
49	1353	1353
50	1375	1321
51	1391	1284
52	1410	1251
53	1433	1221
54	1456	1192
55	1479	1162
56	1502	1133
57	1524	1104
58	1547	1075
59	1570	1047
60	1595	1019
61	1623	995
62	1647	967
63	1670	939
64	1694	912
65	1718	885
66	1740	857
67	1763	829
68	1786	802
69	1810	775
70	1833	749
71	1856	722
72	1879	695
73	1902	668
74	1926	642
75	1949	615
76	1973	589
77	1998	563
78	2020	537
79	2043	510
80	2065	484
81	2088	458
82	2112	432
83	2134	406
84	2157	380
85	2180	354
86	2203	329
87	2228	303
88	2250	278
89	2274	252
90	2297	227
91	2320	201
92	2343	176
93	2366	151
94	2389	125
95	2411	100
96	2435	75
97	2458	50
98	2483	25
99	2508	0
